id,name,party,sector,country,type
ul,Ursula von der Leyen,CDU,Politik,Deutschland,1
lk,Lars Klingbeil,SPD,Politik,Deutschland,1
nr,Norbert Röttgen,CDU,Politik,Deutschland,1
sw,Sahra Wagenknecht,Die Linke,Politik,Deutschland,1
cs,Constanze Stelzenmüller,,Jura,Deutschland,1
CDU,CDU,CDU,,,2
SPD,SPD,SPD,,,2
Die Linke,Die Linke,Die Linke,,,2
500,Folge 500,,,,
cl,Christian Lindner,FDP,Politik,Deutschland,1
ks,Karl Schlögel,,Geschichte,Deutschland,1
lm,Ljudmyla Melnyk,,Wissenschaft,Ukraine,1
kd,Kristina Dunz,,Presse,Deutschland,1
eg,Egils Levits,,Politik,Lettland,1
FDP,FDP,FDP,,,2
501,Folge 501,,,,
ab,Annalena Baerbock,Bündnis 90/Die Grünen,Politik,Deutschland,1
ft,Frans Timmermans,,Politik,Deutschland,1
am,Andrij Melnyk,,Politik,Ukraine,1
al,Alexander Graf Lambsdorff,,Politik,Deutschland,1
er,Egon Ramms,,Militär,Deutschland,1
Bündnis 90/​Die Grünen,Bündnis 90/​Die Grünen,Bündnis 90/​Die Grünen,,,2
502,Folge 502,,,,
rh,Robert Habeck,Bündnis 90/​Die Grünen,Politik,Deutschland,1
cm,Claudia Major,,Wissenschaft,Deutschland,1
kp,Katja Petrowskaja,,Presse,Ukraine,1
rk,Roderich Kiesewetter,CDU,Politik,Deutschland,1
503,Folge 503,,,,